RECORD_ID,ISSUE_DATE,YEAR,MONTH,PERMIT_TYPE,WORK_TYPE,REPORTED_COST,COMMUNITY_AREA_NAME,LATITUDE,LONGITUDE,x,y,PROJECTION,COMMUNITY_UPPER
100880333,2020-08-14,2020,8,PERMIT - SIGNS,Unknown,15000.0,Edgewater,41.98592426271,-87.65999076392,-0.8919774383055821,0.3982143873510088,PCA,EDGEWATER
B200422080,2025-04-22,2025,4,PERMIT – EXPRESS PERMIT PROGRAM,Masonry Work,15000.0,Avondale,41.93754360832,-87.71449918131,-1.0126382260630657,-0.11743265362223504,PCA,AVONDALE
100944939,2021-10-19,2021,10,PERMIT - EASY PERMIT PROCESS,Unknown,500.0,West Town,41.90532563092,-87.66932199674,-0.23938032970914647,-0.22274845181183192,PCA,WEST TOWN
100975917,2022-10-12,2022,10,PERMIT - RENOVATION/ALTERATION,Unknown,1000000.0,Near North Side,41.89569240141,-87.62014286048,0.3126275705919811,2.2016639448928066,PCA,NEAR NORTH SIDE
101011209,2023-03-31,2023,3,PERMIT - EASY PERMIT PROCESS,Unknown,23500.0,South Lawndale,41.83601198484,-87.73269209025,-0.4999733924774041,-0.019613607960894997,PCA,SOUTH LAWNDALE
100925266,2021-06-15,2021,6,PERMIT - EASY PERMIT PROCESS,Unknown,17312.0,North Lawndale,41.857571502,-87.721317424,-0.5142697480703379,0.3714456711563954,PCA,NORTH LAWNDALE
B200006119,2024-01-17,2024,1,PERMIT – EXPRESS PERMIT PROGRAM,Administrative Change,,Loop,41.88670922203,-87.63471089946,0.38990762480682134,-0.44941962163685034,PCA,LOOP
B200403410,2024-11-19,2024,11,PERMIT – EXPRESS PERMIT PROGRAM,Fire Alarm System,,O’Hare,41.98740959682,-87.84438866504,-2.947505359339696,0.18671606282340414,PCA,O’HARE
B100975824,2022-06-13,2022,6,PERMIT – EXPRESS PERMIT PROGRAM,Electrical Work,5000.0,Loop,41.88323434777,-87.63664906186,0.431594750031165,-0.1824355665332057,PCA,LOOP
B200414661,2025-02-21,2025,2,PERMIT – EXPRESS PERMIT PROGRAM,Electrical Work,2000.0,West Pullman,41.66993913173,-87.62496663504,2.244328542140786,-1.087149545065713,PCA,WEST PULLMAN
B200428836,2025-06-05,2025,6,PERMIT – EXPRESS PERMIT PROGRAM,Electrical Work,1500.0,Dunning,41.94626194251,-87.81173689144,-2.1944944855855644,-0.9910296588441823,PCA,DUNNING
100882671,2020-07-16,2020,7,PERMIT - EASY PERMIT PROCESS,Unknown,124780.0,Near West Side,41.88101613551,-87.69015258891,-0.3650986886924347,0.967478720722683,PCA,NEAR WEST SIDE
101048657,2024-09-23,2024,9,PERMIT - RENOVATION/ALTERATION,Unknown,80000.0,West Englewood,41.78453795314,-87.66570377202,0.7129480008479292,1.4178840905411243,PCA,WEST ENGLEWOOD
